model,diagram,sys_id,smell,error_type,confidence,gt_score,explanation
claude-sonnet-4-6,7-spring-petclinic-microservices,7,microservice_greedy,FN,2.0,4.0,"The UI + API Gateway combines two distinct responsibilities: serving static resources (UI) and acting as an API gateway for routing REST requests to downstream microservices. This dual role is a mild indicator of the Microservice Greedy smell, as it merges frontend asset delivery with backend routing/load-balancing logic into a single service. However, this pattern (BFF - Backend for Frontend) is relatively common and may be an intentional design choice rather than an accidental accumulation of responsibilities. The four backend microservices (customers, genai, vets, pets) appear reasonably scoped with single datastores each. The gateway's fan-out to all four services could become a bottleneck, but the overall architecture does not show severe responsibility overloading typical of a clearly greedy microservice. The smell is possible but not strongly evidenced."
claude-sonnet-4-6,3-enterprise-planer,3,nano_service,FN,2.0,3.0,"The Authentication and Authorization components are separated into distinct services, which raises a mild concern about nano service granularity. These two concerns are closely related and often thin in terms of business logic — Authentication simply validates tokens via an identity server, and Authorization merely checks permissions on a resource. Splitting them into separate deployable units can introduce unnecessary inter-service communication overhead (both route through the API Gateway) and operational complexity for what are essentially cross-cutting concerns. However, there is a legitimate architectural pattern (separation of concerns, single responsibility) that justifies keeping AuthN and AuthZ separate, especially at enterprise scale where they may grow independently. The six domain microservices (Customers, Orders, Shipping, Production, Quality, Administration) appear reasonably scoped to distinct business domains and do not raise nano service concerns based on the information visible. Overall, the smell is unlikely but not dismissible, primarily due to the thin, infrastructure-level Authentication and Authorization services."
claude-sonnet-4-6,5-lakeside-mutual,5,nano_service,FN,2.0,4.0,"Spring Boot Admin is a well-known monitoring and administration tool that aggregates actuator endpoints from other Spring Boot services. In this architecture, it receives HTTP connections from Customer Management Backend, Customer Self-Service Backend, and Policy Management Backend. While Spring Boot Admin has a narrow, infrastructure-focused responsibility (monitoring/administration), it is a standard, widely-adopted operational component rather than a business-logic service split too finely. Its role is legitimate as a cross-cutting concern. However, it could be considered a nano service if its monitoring responsibility is trivially small relative to the overhead of maintaining it as an independent deployable unit. The diagram does not show enough evidence of overly fine-grained business decomposition elsewhere, so the smell is unlikely but cannot be fully ruled out for Spring Boot Admin specifically."
claude-sonnet-4-6,9-vehicle-tracking-microservices,9,nano_service,FN,2.0,4.0,"There are some indicators that suggest possible nano services, but the diagram is too high-level to confirm definitively. The presence of two separate 'Lambda' boxes (one near CDN and one near Queues) alongside a dedicated 'Lambda Calc. Engine' raises questions about whether these represent overly fine-grained compute units that could be consolidated. Additionally, 'Service 1' and 'Service N' are placeholder names that provide no context about their responsibilities, making it impossible to assess their granularity. However, Lambda functions in modern architectures are often intentionally small and event-driven by design, which is an accepted pattern. The diagram's abstraction level prevents a clear determination of whether these units are truly too fine-grained or appropriately scoped, hence the low-to-moderate confidence rating."
claude-sonnet-4-6,6-spinnaker,6,cyclic_dependency,FP,4.0,2.0,"The diagram clearly shows cyclic dependencies among multiple services. Most notably: Gate → Keel → Echo → (back connections visible), and Keel ↔ Igor ↔ Echo form a cycle where arrows go in both directions between these nodes. Additionally, Gate has direct connections to Echo and Keel while those services also connect back through the graph. The bidirectional arrows between Keel→Igor, Igor→Echo, and Echo→Keel (and back to Gate/Keel) form clear circular dependency chains. This means these services cannot be deployed independently and fault isolation becomes extremely difficult, as a failure in any one of them can cascade in multiple directions through the cycle."
claude-sonnet-4-6,3-enterprise-planer,3,microservice_greedy,FP,3.0,1.0,"The API Gateway accumulates multiple responsibilities beyond simple routing: it acts as the single access point for the front-end, handles JSON-to-Google-Protobuf conversion (and back), orchestrates authentication by redirecting unauthenticated users to the Identity Server, retrieves auth tokens, and coordinates authorization checks. It also fans out to six downstream microservices. This concentration of cross-cutting concerns (protocol translation, auth orchestration, routing) in a single component is a strong indicator of the Microservice Greedy smell, as it creates a potential bottleneck for scalability and maintainability and violates the single responsibility principle. Confidence is 'likely' rather than 'clearly' because the diagram does not reveal internal implementation details that would confirm the full extent of logic embedded in the gateway."
gemini-2.5-pro,7-spring-petclinic-microservices,7,microservice_greedy,FN,2.5,4.0,"The architecture demonstrates a clear separation of concerns among the core business services (customers-service, vets-service, pets-service, genai-service), each focused on a distinct business domain with its own dedicated database. This strongly adheres to the single responsibility principle. The 'UI + API Gateway' combines UI serving and API routing, which could be a minor point of concern, but this is a standard architectural pattern and does not represent a service greedily accumulating unrelated business logic. Overall, no service appears to be a mini-monolith, making the presence of this smell unlikely."
gemini-2.5-pro,1-cqrs-microservice-sampler,1,nano_service,FN,1.0,3.0,"The architecture diagram illustrates a standard Command Query Responsibility Segregation (CQRS) pattern, supported by common infrastructure services. The Command and Query microservices represent core, distinct business responsibilities (writes and reads, respectively), which is the essence of CQRS. The Gateway, Discovery, and Config microservices are implementations of well-established patterns (API Gateway, Service Discovery, and Configuration Server) that address non-trivial cross-cutting concerns in a distributed system. Each service has a clear, justified, and sufficiently complex responsibility, and none appear to be overly fine-grained. Therefore, the Nano Service smell is not present."
gemini-2.5-pro,1-cqrs-microservice-sampler,1,cyclic_dependency,FP,3.5,1.0,"The diagram shows an explicit arrow from the Discovery Microservice to the Command Microservice. In a standard microservice architecture, the Command Microservice would need to register with the Discovery Microservice, implying a dependency in the opposite direction (Command -> Discovery). If both dependencies exist, this forms a direct cyclic dependency between the two services. While the reverse dependency is implicit, the explicit arrow makes a cycle likely."
gemini-2.5-pro,6-spinnaker,6,cyclic_dependency,FP,4.0,2.0,"The diagram clearly shows multiple cyclic dependencies. There is a direct bidirectional dependency between 'Orca' and 'Echo'. Another bidirectional dependency exists between 'Keel' and 'Echo'. Furthermore, a three-service cycle is present: 'Keel' calls 'Igor', which calls 'Echo', which in turn calls 'Keel' back, forming the cycle Keel → Igor → Echo → Keel. These cycles create tight coupling, making independent deployment and fault isolation for these services difficult."
